item	corpus	variety	time	file	category	genre	relativizer	which	that	zero	preceding_rel	dist_to_preceding_rel	nested	RC_function	ant_length	ant_given	ant_definite	ant_frequency	ant_head_to_RC	RC_length	levyJaeger	TTR	mean_word_length	mean_sentence_length	stranding	split_infinitive	as_if_though	passives	passive_active_ratio	shall_will	nouniness	noun_verb_ratio	personal_pron	subord_conj	animacy	ant_head	adjacency	ant_number	ant_POS	plain_text
3692	FLOB	BrE	1991	FLOB_L04	L	fiction	ZERO	no	no	ZERO	ZERO	271	no	Obj	4	no	def	0.459770115	0	5	<JJ>destructive <NN1>poison <AT1>a	0.39862069	4.177471264	13.0239521	0.01754386	0	0	18.3908046	0.025316456	2	1788.505747	0.987309645	1245.977011	234.4827586	inanimate	<NN1>poison	adjacent	singular	noun	the most destructive poison a woman has access to
3696	FLOB	BrE	1991	FLOB_L04	L	fiction	ZERO	no	no	ZERO	THAT	205	no	Obj	2	no	def	0.459770115	0	10	<AT>the <PPIO1>Me <PPIS1>I	0.39862069	4.177471264	13.0239521	0.01754386	0	0	18.3908046	0.025316456	2	1788.505747	0.987309645	1245.977011	234.4827586	inanimate	<PPIO1>Me	adjacent	singular	other	the Me I ve become and know better than any other self
3700	FLOB	BrE	1991	FLOB_L04	L	fiction	ZERO	no	no	ZERO	THAT	268	no	Obj	1	no	indef	0.459770115	0	4	<$Z> <PN1>Anything <PPY>you	0.39862069	4.177471264	13.0239521	0.01754386	0	0	18.3908046	0.025316456	2	1788.505747	0.987309645	1245.977011	234.4827586	inanimate	<PN1>Anything	adjacent	singular	other	Anything you can talk about
2188	Frown	AmE	1991	Frown_G35	G	generalprose	ZERO	no	no	ZERO	ZERO	164	no	Obj	2	yes	def	3.346080306	0	9	<AT>the <NN1>life <PPHS1>she	0.444550669	4.576959847	26.82051282	0.004587156	0	0	57.36137667	0.101694915	0.25	2390.057361	1.730103806	726.5774379	234.2256214	inanimate	<NN1>life	adjacent	singular	noun	the life she has run away from in the United States
2189	Frown	AmE	1991	Frown_G35	G	generalprose	WHICH	WHICH	no	no	ZERO	39	no	Obj	3	yes	indef	0.956022945	0	7	<JJ>rising <NN1>interest <PPH1>it	0.444550669	4.576959847	26.82051282	0.004587156	0	0	57.36137667	0.101694915	0.25	2390.057361	1.730103806	726.5774379	234.2256214	inanimate	<NN1>interest	adjacent	singular	noun	a rising interest which it at present seems to lack
2187	Frown	AmE	1991	Frown_G35	G	generalprose	ZERO	no	no	ZERO	THAT	23	no	Obj	2	no	def	0.956022945	0	2	<AT>the <NN1>moment <PPHS1>she	0.444550669	4.576959847	26.82051282	0.004587156	0	0	57.36137667	0.101694915	0.25	2390.057361	1.730103806	726.5774379	234.2256214	inanimate	<NN1>moment	adjacent	singular	noun	the moment she arrived
2191	Frown	AmE	1991	Frown_G35	G	generalprose	ZERO	no	no	ZERO	ZERO	432	no	Obj	2	yes	indef	0.956022945	0	7	<AT1>a <NN1>visit <PPHS1>she	0.444550669	4.576959847	26.82051282	0.004587156	0	0	57.36137667	0.101694915	0.25	2390.057361	1.730103806	726.5774379	234.2256214	inanimate	<NN1>visit	adjacent	singular	noun	a visit she made to New York that spring
2182	Frown	AmE	1991	Frown_G35	G	generalprose	THAT	no	THAT	no	ZERO	239	no	Obj	7	no	def	0.478011472	4	8	<JJ>profound <NN1>loneliness <PPHS1>she	0.444550669	4.576959847	26.82051282	0.004587156	0	0	57.36137667	0.101694915	0.25	2390.057361	1.730103806	726.5774379	234.2256214	inanimate	<NN1>entry	adjacent	singular	noun	the journal entry about her profound loneliness that she had sent him over the summer
2179	Frown	AmE	1991	Frown_G35	G	generalprose	ZERO	no	no	ZERO	THAT	93	no	Obj	3	no	def	0.478011472	0	9	<JJ>low-key <NN1>suitor <PPHS1>she	0.444550669	4.576959847	26.82051282	0.004587156	0	0	57.36137667	0.101694915	0.25	2390.057361	1.730103806	726.5774379	234.2256214	inanimate	<NN1>suitor	adjacent	singular	noun	the lowkey suitor she was used to from her years with Hightower
2181	Frown	AmE	1991	Frown_G35	G	generalprose	ZERO	no	no	ZERO	ZERO	22	no	Obj	3	no	def	0.478011472	0	5	<JJ>fevered <NN1>eagerness <PPHS1>she	0.444550669	4.576959847	26.82051282	0.004587156	0	0	57.36137667	0.101694915	0.25	2390.057361	1.730103806	726.5774379	234.2256214	inanimate	<NN1>eagerness	adjacent	singular	noun	the fevered eagerness she had conjured in words
2180	Frown	AmE	1991	Frown_G35	G	generalprose	ZERO	no	no	ZERO	ZERO	262	no	Obj	2	no	def	0.478011472	0	8	<AT>the <NN1>intimacy <PPHS1>she	0.444550669	4.576959847	26.82051282	0.004587156	0	0	57.36137667	0.101694915	0.25	2390.057361	1.730103806	726.5774379	234.2256214	inanimate	<NN1>intimacy	adjacent	singular	noun	the intimacy she had described in her letters from Iowa
2190	Frown	AmE	1991	Frown_G35	G	generalprose	ZERO	no	no	ZERO	WHICH	62	no	Obj	2	no	def	0.478011472	0	2	<AT>The <NN1>guidance <NP1>Stafford	0.444550669	4.576959847	26.82051282	0.004587156	0	0	57.36137667	0.101694915	0.25	2390.057361	1.730103806	726.5774379	234.2256214	inanimate	<NN1>guidance	adjacent	singular	noun	The guidance Stafford received
2186	Brown	AmE	1961	brown_G62	G	generalprose	WHICH	WHICH	no	no	none	552	no	Obj	3	no	def	0.487804878	0	4	<JJ>volunteering <NN1>method <NP1>Theodore	0.477560976	4.957073171	28.08219178	0	0	0	107.3170732	0.309859155	0	3604.878049	3.24122807	151.2195122	234.1463415	inanimate	<NN1>method	adjacent	singular	noun	the volunteering method which Theodore Roosevelt favored
859	FLOB	BrE	1991	FLOB_E04	E	generalprose	ZERO	no	no	ZERO	THAT	35	no	Obj	3	no	indef	3.344481605	2	3	<AT>the <NN1>accessorizing <PPY>you	0.35451505	4.685140946	14.53472222	0.013274336	4.777830865	0	76.44529384	0.163265306	0	2861.920688	2.10915493	229.3358815	234.1137124	inanimate	<DB>all	adjacent	other	other	all the accessorizing you ll need
863	FLOB	BrE	1991	FLOB_E04	E	generalprose	ZERO	no	no	ZERO	THAT	181	no	Obj	2	yes	def	3.344481605	0	8	<AT>the <NN1>amount <PPY>you	0.35451505	4.685140946	14.53472222	0.013274336	4.777830865	0	76.44529384	0.163265306	0	2861.920688	2.10915493	229.3358815	234.1137124	inanimate	<NN1>amount	adjacent	singular	noun	the amount you will need to add to the pattern
867	FLOB	BrE	1991	FLOB_E04	E	generalprose	THAT	no	THAT	no	THAT	94	no	Obj	3	yes	def	1.433349259	0	5	<JJ>sculptured <NN1>look <DD2>these	0.35451505	4.685140946	14.53472222	0.013274336	4.777830865	0	76.44529384	0.163265306	0	2861.920688	2.10915493	229.3358815	234.1137124	inanimate	<NN1>look	adjacent	singular	noun	the sculptured look that these garments call for
865	FLOB	BrE	1991	FLOB_E04	E	generalprose	THAT	no	THAT	no	THAT	96	no	Obj	3	no	def	0.955566173	0	9	<DA>same <NN2>undergarments <PPY>you	0.35451505	4.685140946	14.53472222	0.013274336	4.777830865	0	76.44529384	0.163265306	0	2861.920688	2.10915493	229.3358815	234.1137124	inanimate	<NN2>undergarments	adjacent	plural	noun	the same undergarments that you plan to wear with the finished garment
3453	Frown	AmE	1991	Frown_J60	J	learned	THAT	no	THAT	no	THAT	36	no	Obj	11	no	def	0.487329435	7	3	<IO>of <NN1>science <NP1>Herschel	0.438109162	4.892787524	22.06451613	0.003546099	4.873294347	0	116.9590643	0.285714286	0	2665.692008	2.196787149	404.4834308	233.9181287	inanimate	<NN2>questions	adjacent	plural	noun	the more general questions of the organization and role of science that Herschel approached
3448	Frown	AmE	1991	Frown_J60	J	learned	THAT	no	THAT	no	none	NA	no	Obj	8	no	def	0.487329435	5	8	<JJ>economic <NN2>pressures <JJ>increasing	0.438109162	4.892787524	22.06451613	0.003546099	4.873294347	0	116.9590643	0.285714286	0	2665.692008	2.196787149	404.4834308	233.9181287	inanimate	<NN1>outcome	adjacent	singular	noun	the inevitable outcome of the intolerable economic pressures that increasing industrialization was inflicting on agrarian workers
3450	Frown	AmE	1991	Frown_J60	J	learned	THAT	no	THAT	no	WHICH	214	no	Obj	5	no	def	0.487329435	2	6	<II>to <NP1>Henry <NP1>Maggie	0.438109162	4.892787524	22.06451613	0.003546099	4.873294347	0	116.9590643	0.285714286	0	2665.692008	2.196787149	404.4834308	233.9181287	inanimate	<NN1>partner	adjacent	singular	noun	the intellectual partner to Henry that Maggie was to John Herschel
3452	Frown	AmE	1991	Frown_J60	J	learned	THAT	no	THAT	no	WHICH	97	no	Obj	5	no	def	0.487329435	2	6	<IO>of <NN1>fame <NP1>Herschel	0.438109162	4.892787524	22.06451613	0.003546099	4.873294347	0	116.9590643	0.285714286	0	2665.692008	2.196787149	404.4834308	233.9181287	inanimate	<NN2>levels	adjacent	plural	noun	the same levels of fame that Herschel  unwillingly   reached
3449	Frown	AmE	1991	Frown_J60	J	learned	WHICH	WHICH	no	no	THAT	324	no	Obj	2	no	def	0.487329435	0	15	<AT>the <NN1>difficulty <PPY>you	0.438109162	4.892787524	22.06451613	0.003546099	4.873294347	0	116.9590643	0.285714286	0	2665.692008	2.196787149	404.4834308	233.9181287	inanimate	<NN1>difficulty	adjacent	singular	noun	the difficulty which you complain of  of getting any bookseller to publish a scientific work on Botany
298	Brown	AmE	1961	brown_B02	B	press	WHICH	WHICH	no	no	none	653	no	Obj	2	no	indef	0.48709206	0	30	<II>in <NN2>notes <NP1>Britain	0.477837311	4.938139308	21.61052632	0	0	0	102.2893327	0.403846154	0	3263.516805	2.648221344	209.449586	233.804189	inanimate	<NN2>notes	adjacent	plural	noun	in notes which Britain  France  and the United States sent to Moscow after the latter s gratuitous protest over a visit of Chancellor Adenauer and other West German officials to West Berlin
304	Brown	AmE	1961	brown_B02	B	press	ZERO	no	no	ZERO	THAT	570	no	Obj	1	no	indef	0.48709206	0	4	<$Z> <DB>All <PPIS2>we	0.477837311	4.938139308	21.61052632	0	0	0	102.2893327	0.403846154	0	3263.516805	2.648221344	209.449586	233.804189	inanimate	<DB>All	adjacent	other	other	All we want in Laos
3966	Brown	AmE	1961	brown_P03	P	fiction	ZERO	no	no	ZERO	ZERO	73	no	Obj	3	no	indef	0.954198473	2	3	<DAR>more <NN1>thing <PPHS1>he	0.422709924	4.159351145	14.2585034	0.00617284	0	0	19.08396947	0.03125	0.5	2762.40458	1.723214286	1030.534351	233.778626	inanimate	<MC1>one	adjacent	singular	other	one more thing he could try
3957	Brown	AmE	1961	brown_P03	P	fiction	ZERO	no	no	ZERO	none	359	no	Obj	2	no	def	0.954198473	0	2	<AT>the <NN2>pictures <PPY>you	0.422709924	4.159351145	14.2585034	0.00617284	0	0	19.08396947	0.03125	0.5	2762.40458	1.723214286	1030.534351	233.778626	inanimate	<NN2>pictures	adjacent	plural	noun	the pictures you wanted
3962	Brown	AmE	1961	brown_P03	P	fiction	ZERO	no	no	ZERO	WHICH	229	no	Obj	2	yes	def	0.954198473	0	2	<AT>the <NN1>son <PPHS1>he	0.422709924	4.159351145	14.2585034	0.00617284	0	0	19.08396947	0.03125	0.5	2762.40458	1.723214286	1030.534351	233.778626	inanimate	<NN1>son	adjacent	singular	noun	the son he wanted
3965	Brown	AmE	1961	brown_P03	P	fiction	ZERO	no	no	ZERO	THAT	199	no	Obj	2	yes	def	0.954198473	0	11	<AT>the <NN2>ones <PPIS1>I	0.422709924	4.159351145	14.2585034	0.00617284	0	0	19.08396947	0.03125	0.5	2762.40458	1.723214286	1030.534351	233.778626	inanimate	<NN2>ones	adjacent	plural	noun	the ones I ve got to know in this new Jockey Club affair
